segment_id,osm_id,osm_name,osm_type,start_lat,start_long,end_lat,end_long,x,y,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,distance_10,order_list_of_workers,assigned_points
170,35603169,ถนนสุขุมวิท,trunk,12.9521275,100.9067615,12.945891,100.9049079,706845.95323,1432613.34535,51852.3503684,25619.8913958,47538.9657552,23935.653861,64666.0360703,67547.0326198,20842.4574147,42774.2503372,5931.42084786,72812.8920474,9;7;4;2;8;3;1;5;6;10,9
172,36239022,ถนนชัยพฤกษ์,tertiary,12.8786212085,100.889510237,12.879902527,100.893926381,705033.88328,1424466.70138,57368.5988637,31951.7036564,55091.1907946,16684.7889449,72899.079116,74905.6651724,29152.8771335,51119.3094939,10230.2276601,78535.0384992,9;4;7;2;8;3;1;5;6;10,9
178,37616930,ถนนนาเกลือ,tertiary,12.9548010663,100.890246552,12.9585213966,100.892861063,705051.627925,1432895.83487,53360.8779984,27036.5324191,48495.3019448,24635.9753774,65117.316473,68562.911477,21228.2319639,42901.1146811,7744.95580128,74265.0887899,9;7;4;2;8;3;1;5;6;10,9
189,47573624,ทุงกลม-ตาลหมัน 9,tertiary,12.895725,100.9207254,12.8981546,100.9212715,708408.079492,1426384.21366,53491.3634257,28172.7661908,51587.1178514,17520.9472734,69924.65073,71302.3435913,26467.429149,48635.7527061,6493.81635707,74661.2175602,9;4;7;2;8;3;1;5;6;10,9
192,47573736,,tertiary,12.9472674408,101.054773247,12.9435904808,101.05700185,722912.638538,1432200.09036,38223.0630563,14844.3875071,39633.8361911,25600.2327269,60764.7522934,58317.7063343,22213.0296343,42929.1682104,10317.0758668,59418.09713,9;2;7;4;1;3;8;6;10;5,9
195,47573736,,tertiary,12.9372210935,101.06241655,12.9341890395,101.064550242,723751.114169,1431095.13592,38229.9618821,15573.6289331,40377.3178139,25003.9291916,61745.5894237,58863.0236348,23570.21129,44166.1621644,11119.7128188,59408.871375,9;2;7;4;1;3;8;6;10;5,9
196,47573736,,tertiary,12.9341890395,101.064550242,12.9301639123,101.066637734,723985.396113,1430761.50488,38256.5854818,15816.8647299,40614.6168745,24826.9559569,62047.1218935,59042.15563,23972.4486617,44537.8173583,11365.3129452,59427.3596195,9;2;7;4;1;3;8;6;10;5,9
200,47573736,,tertiary,12.9192359494,101.063143203,12.9164151229,101.066629851,723846.018946,1429105.70477,39427.7328598,17440.6075122,42226.9198346,23329.032264,63707.4926549,60565.4418137,25416.7675379,46139.4354431,11428.0683276,60566.2138136,9;2;4;7;1;3;8;6;10;5,9
201,47573736,,tertiary,12.9164151229,101.066629851,12.9136755559,101.070291557,724226.978269,1428796.62884,39344.8213576,17634.7307534,42401.3491589,23268.1868678,63968.9325676,60661.0382157,25854.5791724,46513.0766951,11863.8183066,60466.8043249,9;2;4;7;1;3;8;10;6;5,9
207,52058573,,secondary,13.283375,101.255904,13.283512504,101.251295306,744409.64006,1469579.39985,17350.3443267,28423.598083,7153.45598469,68681.7296257,26087.9378373,15201.3331115,35340.4223525,29276.291151,49737.9700298,26588.920309,3;6;1;5;10;2;8;7;9;4,3
214,52058573,,secondary,13.2824167493,101.225251316,13.2834914703,101.220787351,741088.092576,1469443.48754,19224.1572804,26622.5148988,3830.40321973,67041.9579083,24759.7956183,17268.7624182,32409.0540882,26033.8530787,47575.4587771,29888.7543551,3;6;1;5;8;2;10;7;9;4,3
218,52058581,,tertiary,13.2853104293,101.172781265,13.2808309913,101.172179914,735398.108348,1469713.52909,23515.4072502,24780.0506748,1956.71372075,65002.8076784,22928.5558586,21246.0511034,27905.4155417,20416.7786986,44639.1542625,35583.4995508,3;8;6;5;1;2;7;10;9;4,3
225,52058628,จารุวร,primary,13.3101044837,101.183031805,13.3143332943,101.183851432,736485.072987,1472466.97578,24568.1137748,27725.3773271,3416.06660329,67963.0241536,20446.6573865,18778.2944847,30505.717483,21034.2462005,47564.2821522,34804.8080741,3;6;5;8;1;2;7;10;9;4,3
227,52058628,จารุวร,primary,13.3183189747,101.18507335,13.3228099662,101.185453544,736698.339877,1473377.94504,25082.695491,28659.7946917,4274.08200927,68889.1935564,19616.529381,18120.5961246,31271.6011867,21179.0885312,48460.1457505,34743.1634859,3;6;5;8;1;2;7;10;9;4,3
232,52058628,จารุวร,primary,13.3398246532,101.190582397,13.343768973,101.192832175,737274.382261,1475763.05688,26528.258108,31111.4458889,6620.85303261,71321.59694,17499.246154,16509.9016874,33330.4940985,21762.8557318,50821.0544033,34683.8110146,3;6;5;8;1;2;7;10;9;4,3
243,52058628,จารุวร,primary,13.3880718714,101.192934052,13.3925647695,101.192474975,737481.95907,1481104.45234,30795.541818,36328.8763717,11964.1323059,76401.9984552,12653.6083112,14909.395189,37409.8830206,22908.152573,55645.3938429,36174.3365985,3;5;6;8;1;10;2;7;9;4,3
247,52058628,จารุวร,primary,13.405656108,101.189967982,13.4101123673,101.18923861,737143.369009,1483047.51684,32634.8993907,38142.8339518,13905.8837835,78123.1168647,10789.6467932,15184.5474753,38716.2146703,23227.4403434,57244.7426291,37268.7668091,5;3;6;8;1;10;2;7;9;4,5
251,52058628,จารุวร,primary,13.4231108777,101.185508625,13.4273212198,101.18385357,736643.169974,1484974.81993,34554.5229112,39924.2680667,15845.0003677,79790.256465,8893.30505483,15861.7708129,39970.6681397,23555.2516514,58786.1663132,38569.4883119,5;3;6;8;1;10;2;7;9;4,5
256,52058666,จารุวร,primary,13.4435630693,101.177535363,13.4479399932,101.176394165,735759.471895,1487230.45721,36954.4139664,41982.5783545,18151.1763195,81671.5132425,6552.56784917,17206.5179981,41351.1185545,23889.8082358,60508.8498659,40422.7409075,5;6;3;8;1;10;7;2;9;4,5
257,52058666,จารุวร,primary,13.4479399932,101.176394165,13.4506003,101.175713,735631.582042,1487713.72286,37439.3354476,42438.4274873,18643.6105233,82096.138265,6099.38013536,17466.0767486,41691.7538171,24044.0122914,60907.3025833,40774.4033223,5;6;3;8;1;10;7;2;9;4,5
259,52058667,,secondary,13.4722829931,101.100090505,13.4711829,101.0966206,727344.04074,1490335.68193,44138.3678258,44529.4946623,23402.5490316,82648.4151219,4746.06244871,26158.3495808,40414.2993794,19751.5704385,60826.0870902,49294.5876533,5;8;3;6;7;1;2;10;9;4,5
260,52059064,,secondary,13.3081188,101.1223613,13.3039673,101.122542,729911.843297,1472190.34498,29376.685859,26384.2568638,7964.11305427,65586.6804119,20217.9498796,24691.4363781,25715.9685451,14546.6168882,44376.9583456,41281.3418405,3;8;5;6;7;2;1;10;9;4,3
272,82396177,ถนนสุขุมวิท,trunk,12.9637766219,100.909590321,12.9593487288,100.908674923,707143.291231,1433904.51416,51039.4174572,24717.4680728,46360.4007236,25145.4218839,63359.9577996,66395.2914075,19524.7646226,41449.6020516,6070.23241159,71944.1041061,9;7;2;4;8;3;1;5;6;10,9
277,83543089,,tertiary,13.1428649365,101.604032116,13.146619585,101.601472783,782310.130996,1454394.16408,28651.4670865,54197.3698023,47393.6502342,83833.3887612,63292.4305173,41142.8754835,68784.8884454,69721.3005949,73399.3160471,17187.8054034,10;1;6;3;2;5;7;8;9;4,10
283,83543089,,tertiary,13.1640016283,101.593139249,13.1676599177,101.59043563,781104.363603,1456721.58659,27501.4038011,53432.5257054,45560.5321883,84113.8503725,60942.8416974,38680.4307565,67690.182715,67921.8386054,73032.4027942,14661.1215554,10;1;6;3;2;5;7;8;9;4,10
288,83543089,,tertiary,13.1838983683,101.586748218,13.1876642456,101.584422924,780388.453699,1458916.80477,27025.0576268,53228.6260455,44314.7618828,84793.0130081,59094.8269022,36699.453574,67154.9297872,66684.4785816,73161.2642626,12627.8427816,10;1;6;3;2;5;8;7;9;4,10
292,83543089,,tertiary,13.1978283226,101.578583754,13.2022512154,101.577677637,779487.087301,1460449.58655,26412.9264636,52759.4168214,43103.1499506,84980.5561187,57489.6113445,35027.5781388,66427.4600559,65462.5316855,72926.0101443,10953.6359107,10;1;6;3;2;5;8;7;9;4,10
301,83543089,,tertiary,13.229730441,101.557977728,13.2319605138,101.553969625,777216.240066,1463957.86528,25233.7754606,51704.6194574,40281.694541,85388.0017451,53679.9716427,31078.4551246,64710.8167845,62561.0332493,72363.4057328,7123.91802253,10;1;6;3;2;5;8;7;9;4,10
307,83543089,,tertiary,13.2441530086,101.534629813,13.2468849801,101.530957706,774668.275255,1465528.47214,23539.7943165,49925.073835,37572.9056176,84488.8053281,50686.8572834,28098.5041107,62518.1086507,59795.4434814,70843.8441866,4144.44367845,10;1;6;3;2;5;8;7;9;4,10
308,83543089,,tertiary,13.2468849801,101.530957706,13.249382999,101.527120295,774267.046739,1465826.82699,23320.7364544,49676.0005519,37145.740291,84390.2614318,50188.5609809,27598.5397025,62189.9484822,59354.4850621,70638.0595859,3657.20509667,10;1;6;3;2;5;8;7;9;4,10
313,83543089,,tertiary,13.2579393805,101.511563318,13.2602110156,101.507628859,772151.85393,1467029.15591,22110.69735,48263.2466982,34946.2395017,83661.4612466,47757.5285815,25189.61243,60407.7253956,57093.2038463,69411.1689565,1274.35034766,10;1;6;3;5;2;8;7;9;4,10
317,83543089,,tertiary,13.2668544246,101.496037523,13.2688977671,101.491924971,770458.655656,1467999.01937,21297.9477489,47195.780277,33208.7816662,83130.0301782,45807.720402,23260.2593241,59016.5401558,55292.7011114,68479.4913794,871.904702675,10;1;6;3;5;2;8;7;9;4,10
331,83872098,ชลบุรี-พัทยา,trunk,13.3269196759,100.990174033,13.3224656805,100.990951451,715570.209193,1474152.25129,42680.448624,31257.3664344,22270.2094713,65088.1601824,24271.1760475,37699.4778909,21898.8708256,341.36732115,42937.5737893,55755.1982717,8;7;3;5;2;6;1;9;10;4,8
336,83872104,ถนนสุขุมวิท,trunk,13.0083716,100.9304806,13.0128580204,100.93102799,709372.769612,1438855.68205,47107.8110388,20635.1993178,41176.5008918,29769.7077522,57931.9845267,61274.5580506,14124.1696026,36168.4250149,8215.32008649,67757.0926815,9;7;2;4;8;3;1;5;6;10,9
